gender,height,hand_size,foot_size
0,163.7,171,231
0,167.8,172,236
0,162.5,171,235
0,163.3,168,228
0,162.2,173,238
0,154.8,161,231
0,152.1,160,225
0,159.4,158,220
0,165.6,177,234
0,158.2,165,219
0,155.1,164,223
0,167.3,177,235
0,159.1,165,226
0,167.4,180,244
0,161.4,178,242
0,160.7,168,226
0,161.9,163,230
0,158.6,151,212
1,184.2,198,271
1,175.6,191,248
1,173.1,180,255
1,170.1,185,252
1,185.1,192,258
1,170.3,178,253
1,179.5,195,262
1,184.3,185,256
1,167.9,166,228
1,177.7,179,245
1,175.4,190,261
1,171.5,180,245
1,171.0,187,265
1,177.0,183,251
1,178.1,185,253
1,173.2,184,258
1,179.4,193,263
1,173.7,184,253
1,191.0,195,272
1,174.1,192,250
1,168.1,186,248
1,181.0,189,269
1,180.9,194,267
1,184.4,199,260
1,169.1,179,242
1,174.5,181,251
1,182.9,186,263
1,167.8,178,242
1,181.9,201,268
1,182.6,184,274
1,170.6,188,260
1,176.2,175,243
1,158.6,173,232
1,177.4,180,262
1,179.9,183,257
1,172.4,181,255
1,163.5,173,246
1,179.4,182,269
1,191.0,191,272
1,164.0,185,256
1,173.0,187,253
1,172.6,188,255
1,174.3,182,259
1,176.9,185,264
1,180.3,186,259
1,181.9,196,268
1,169.5,176,251
1,176.5,180,251
1,174.9,185,259
1,175.0,184,256
1,171.1,180,246
1,169.2,170,242
1,181.7,189,267
1,172.6,176,248
1,161.3,171,234
1,185.4,177,258
1,172.0,191,255
1,182.9,187,261
1,180.0,187,247
1,173.0,181,248
1,171.3,185,245
1,187.3,190,267
1,173.6,190,258
1,180.9,196,266
1,176.1,186,250
1,162.6,175,240
1,171.4,180,253
1,178.3,181,267
1,173.5,192,254
1,164.2,165,240
1,173.1,180,245
1,166.7,186,265
1,176.4,185,255
1,171.9,178,253
1,177.5,175,250
1,169.6,178,254
1,171.1,186,252
1,178.2,184,256
1,176.0,188,266
1,174.9,173,259
0,159.2,171,228
0,160.9,161,223
0,164.8,164,232
0,155.6,161,226
0,164.1,176,254
0,159.6,170,227
0,164.8,175,236
0,166.5,178,230
0,162.1,167,230
0,164.4,172,233
0,148.1,153,211
0,156.5,167,219
0,165.7,177,236
0,158.6,166,227
0,157.1,169,235
0,162.4,168,233
0,162.2,172,236
0,163.7,167,225
0,161.2,168,222
0,158.6,163,226
0,164.6,177,234
0,167.8,184,249
0,156.9,163,213
0,162.6,169,237
0,159.3,168,226
0,161.7,174,244
0,164.2,170,227
0,157.0,157,226
0,165.5,169,231
0,162.4,168,231
0,163.4,165,226
0,164.1,179,243
0,167.9,169,234
0,149.8,157,193
0,162.7,167,222
0,157.6,163,227
0,155.1,158,228
0,153.7,164,218
0,162.8,166,223
0,167.6,174,239
0,155.6,155,223
0,169.7,172,230
0,162.4,164,232
0,155.6,152,218
0,162.0,158,221
0,159.3,174,221
0,157.7,171,224
0,161.8,172,235
0,164.3,161,219
0,162.9,166,238
0,158.1,165,226
0,166.1,175,251
0,164.1,180,244
0,158.5,164,237
0,156.1,168,232
0,165.8,167,234
0,162.9,172,229
0,163.3,172,245
0,156.8,163,236
0,160.8,169,227
0,161.7,169,240
0,159.0,167,232
0,170.2,171,234
0,167.6,176,237
0,154.9,157,218
0,160.1,168,242
0,160.5,167,240
0,152.9,160,220
0,166.1,172,236
0,156.3,165,231
0,164.4,173,245
0,164.9,176,243
0,161.5,169,237
0,162.6,163,232
0,162.9,171,229
0,161.1,173,229
0,154.8,169,223
0,162.6,178,237
0,168.2,173,236
0,160.3,166,216
0,165.0,168,237
0,164.8,173,228
0,161.5,170,229
0,168.1,150,240
0,160.6,171,236
0,162.8,174,238
0,155.9,160,217
0,164.4,168,242
0,162.1,177,239
0,164.9,172,240
0,166.1,174,228
0,161.4,164,221
0,155.8,154,210
0,162.5,174,242
0,154.9,159,224
0,168.4,177,243
0,156.5,161,230
0,162.8,172,231
0,157.6,166,226
1,178.6,196,274
1,174.6,186,260
1,169.3,178,247
1,179.0,192,265
1,181.1,191,255
1,169.4,183,252
1,176.4,178,254
1,167.0,181,253
1,167.2,175,255
1,188.7,203,292
1,171.6,176,249
1,172.0,171,241
1,176.2,180,260
1,175.1,193,268
1,177.3,186,250
1,172.3,177,252
1,179.4,193,259
1,174.3,177,247
1,168.4,194,249
1,182.0,207,277
1,176.0,185,258
1,176.0,195,261
1,166.1,172,244
1,171.9,184,264
1,177.4,194,263
1,178.8,196,268
1,181.6,184,267
1,169.1,187,253
1,168.6,185,249
1,171.5,180,246
1,175.4,188,255
1,176.5,191,272
1,170.6,178,260
1,175.6,180,249
1,174.8,181,253
1,175.8,195,271
1,169.1,186,264
1,173.9,186,256
1,173.8,186,251
1,175.8,177,254
1,172.0,180,254
1,173.0,187,249
1,177.0,190,258
1,174.1,188,264
1,182.5,194,264
1,169.6,175,249
1,184.6,188,258
1,168.6,177,242
1,170.8,185,254
1,169.3,175,235
1,180.6,185,257
1,185.0,186,277
1,176.5,186,258
0,164.4,173,243
0,158.6,170,235
0,158.6,177,233
0,171.8,180,244
0,171.3,170,235
0,167.7,170,236
0,162.9,165,228
0,157.1,159,221
0,169.0,177,236
0,158.0,162,225
0,159.2,167,236
0,164.9,167,230
0,166.5,177,245
0,155.8,157,221
0,158.3,167,233
0,155.7,169,219
0,158.2,167,220
0,176.0,187,255
0,156.6,163,225
0,160.2,164,237
0,155.6,168,233
0,161.5,170,224
0,159.8,178,243
0,164.7,166,232
0,156.4,159,224
0,162.9,174,235
0,165.8,174,242
0,160.6,164,237
0,158.9,164,217
0,153.9,161,219
0,156.2,158,224
0,162.6,168,235
0,162.7,179,238
0,152.9,166,226
0,165.0,168,231
0,160.5,170,235
0,164.0,172,234
0,165.5,181,254
0,154.3,169,225
0,162.7,163,228
0,163.7,170,238
0,156.8,165,221
0,167.1,173,236
0,164.4,172,241
0,154.3,160,223
0,158.6,167,238
0,158.5,167,226
0,151.9,160,217
0,163.7,163,229
0,157.4,165,219
0,163.0,173,228
0,167.0,175,244
0,154.7,157,217
0,171.0,173,244
0,157.8,161,215
0,160.8,175,242
0,158.6,170,224
0,156.4,168,234
0,152.9,159,221
0,158.8,169,242
0,155.3,159,220
0,165.4,166,234
0,159.9,169,231
0,163.9,177,234
0,170.0,177,252
0,162.2,169,237
0,153.2,160,221
0,161.1,167,226
0,161.6,158,222
0,152.3,157,223
0,158.9,173,236
0,164.4,178,230
0,153.1,162,226
0,158.6,165,237
0,171.7,176,230
0,162.6,170,238
0,156.0,158,219
0,156.8,159,217
0,161.8,179,245
0,157.9,164,227
0,158.9,162,239
0,163.4,171,232
0,168.2,175,235
0,158.0,168,225
0,164.7,172,222
0,157.1,168,230
0,153.7,158,211
0,165.5,176,244
0,164.6,174,238
0,154.0,164,224
0,166.2,173,244
0,166.1,173,242
0,167.8,178,237
0,163.0,170,230
0,158.1,172,231
1,173.6,182,241
1,179.5,188,258
1,182.5,180,264
1,183.5,188,284
1,185.2,196,290
1,173.5,185,262
1,169.8,172,254
1,176.1,181,255
1,173.0,185,254
1,170.2,180,253
1,174.0,180,248
