DATE,VES,KRW,JPY
2021-03-21,1800010.55,1127.93,108.74
2021-03-22,1807842.77,1129.6,109.12
2021-03-23,1825477.66,1138.08,109.06
2021-03-24,1823588.62,1136.57,108.86
2021-03-25,1817683.67,1132.73,108.92
2021-03-26,1842717.16,1128.41,109.56
2021-03-27,1842717.16,1128.41,109.56
2021-03-28,1849818.42,1128.08,109.68
2021-03-29,1882084.75,1129.54,109.52
2021-03-30,1928834.62,1135.47,110.55
2021-03-31,1967576.38,1130.71,111.03
2021-04-01,1989037.33,1127.18,110.42
2021-04-02,1978300.94,1126,110.34
2021-04-03,1978099.13,1125.89,110.32
2021-04-04,1986151.41,1126.01,110.36
2021-04-05,1994752.25,1126.53,110.36
2021-04-06,1987720.55,1115.84,109.52
2021-04-07,2085239.82,1116.97,109.58
2021-04-08,2109282.62,1118.33,109.46
2021-04-09,2189316.27,1121.19,109.67
2021-04-10,2233422.15,1121.09,109.67
2021-04-11,2227497.74,1121.45,109.74
2021-04-12,2230185.94,1126.64,109.5
2021-04-13,2335098.69,1126.32,109.49
2021-04-14,2325139.95,1114.78,108.78
2021-04-15,2305914.97,1113.95,108.43
2021-04-16,2375318.11,1115,108.63
2021-04-17,2375238.84,1114.97,108.63
2021-04-18,2374232.05,1114,108.51
2021-04-19,2378416.58,1119.26,108.5
2021-04-20,2377521.03,1120.38,108.42
2021-04-21,2463197.67,1119.98,108.35
2021-04-22,2504788.56,1121.4,108.14
2021-04-23,2502909.17,1114.94,107.91
2021-04-24,2502629.86,1114.87,107.88
2021-04-25,2499976.45,1114.37,107.82
2021-04-26,2634252.64,1109.04,108.01
2021-04-27,2708160.35,1112.5,108.66
2021-04-28,2709484.24,1112.93,108.82
2021-04-29,2717006.03,1109.77,109.12
2021-04-30,2747225.04,1119.58,109.53
2021-05-01,2747327.91,1119.62,109.48
2021-05-02,2748939.2,1120.28,109.56
2021-05-03,2557340.49,1116.8,108.71
2021-05-04,2791833.55,1127.43,109.45
2021-05-05,2789620.46,1125.54,109.27
2021-05-06,2779178.55,1116.8,108.73
2021-05-07,2590658.53,1109.61,108.26
2021-05-08,2583490.7,1109.61,108.25
2021-05-09,2584419.24,1109.85,108.27
2021-05-10,2594217.73,1120.49,109.17
2021-05-11,2595827.66,1123.91,109.07
2021-05-12,2851158.6,1130.54,109.44
2021-05-13,2839216.88,1124.78,109.29
2021-05-14,2854760.03,1130.69,109.78
2021-05-15,2855106.77,1130.83,109.79
2021-05-16,2935060.92,1130.79,109.82
2021-05-17,2940924.92,1134.89,108.78
2021-05-18,2957918.16,1129.18,109.11
2021-05-19,2939492.36,1128.75,108.97
2021-05-20,2940902.66,1130.17,109.08
2021-05-21,3019687.54,1125.94,108.79
2021-05-22,3019687.54,1125.94,108.79
2021-05-23,3030701.07,1126.01,108.76
2021-05-24,3040210.14,1124.93,108.96
2021-05-25,3018848.26,1118.24,108.37
2021-05-26,3042762.07,1116.14,109.06
2021-05-27,3028396.82,1117.93,109.79
2021-05-28,3060996.39,1113.16,109.78
2021-05-29,3061002.73,1113.17,109.79
2021-05-30,3109362.23,1113.27,109.81
2021-05-31,3118695.24,1110.74,109.8
2021-06-01,3122653.51,1110.09,109.62
2021-06-02,3112158.28,1112.02,109.69
2021-06-03,3105206.5,1119.4,110.58
2021-06-04,3101679.33,1107.7,109.21
2021-06-05,3101498.57,1107.63,109.2
2021-06-06,3115642.29,1107.52,109.25
2021-06-07,3115596.2,1110.1,109.19
2021-06-08,3109057.95,1114.75,109.25
2021-06-09,3118719.4,1115.06,109.43
2021-06-10,3120404,1110.12,109.14
2021-06-11,3118382.26,1117.37,109.76
2021-06-12,3118829.83,1117.37,109.76
2021-06-13,3123257.37,1117.44,109.82
2021-06-14,3126331.47,1119.34,110.25
2021-06-15,3127796.31,1120.64,110.29
2021-06-16,3120473.33,1132.77,110.68
2021-06-17,3116532.68,1135.7,110.39
2021-06-18,3092011.8,1131.76,109.86
2021-06-19,3092233.55,1131.85,109.87
2021-06-20,3105989.5,1132.6,109.92
2021-06-21,3133468.11,1132.87,110.45
2021-06-22,3144703.28,1137.51,111.02
2021-06-23,3183066.8,1139.05,111.26
2021-06-24,3188064.26,1135.12,111.17
2021-06-25,3189454.17,1130.88,111.14
2021-06-26,3189080.13,1130.75,111.13
2021-06-27,3213158.16,1131.05,111.16
2021-06-28,3216118.15,1132.73,110.83
2021-06-29,3209261.33,1131.77,110.52
2021-06-30,3201539.93,1126.89,110.71
2021-07-01,3233828.55,1139.15,111.98
2021-07-02,3211674.82,1127.43,110.73
2021-07-03,3211674.82,1127.43,110.71
2021-07-04,3222846.9,1126.86,110.76
2021-07-05,3224316.74,1127.55,110.6
2021-07-06,3238320.01,1138.92,110.83
2021-07-07,3232182.08,1141.63,110.58
2021-07-08,3246915.22,1151.35,110.19
2021-07-09,3228486.69,1143.17,109.91
2021-07-10,3228282.7,1143.09,109.89
2021-07-11,3234537.6,1142.85,109.97
2021-07-12,3299897.18,1138.86,109.98
2021-07-13,3304014.5,1148.36,110.4
2021-07-14,3335570.69,1148.25,110.32
2021-07-15,3329435.53,1143,109.96
2021-07-16,3327293.56,1143.14,110.14
2021-07-17,3326941.41,1143.03,110.09
2021-07-18,3328105.72,1143.45,110.08
2021-07-19,3555920.02,1151.42,109.43
2021-07-20,3587478.04,1147.18,109.71
2021-07-21,3670890.04,1148.86,110.21
2021-07-22,3697433.71,1148.19,109.91
2021-07-23,3762841.98,1149.34,110.29
2021-07-24,3762778.19,1149.32,110.29
2021-07-25,3763666.21,1149.71,110.31
2021-07-26,3863726.73,1153.33,110.39
2021-07-27,3997558.53,1156.17,109.94
2021-07-28,4007034.74,1154.95,110.32
2021-07-29,3988814.11,1142.66,109.37
2021-07-30,3981009.44,1148.78,109.41
2021-07-31,3889334.07,1148.74,109.41
2021-08-01,3889781.57,1148.84,109.42
